Date,SPY realized variance,BAC realized variance,SPY-BAC realized covariance
01/02/2001,0.454604729,7.311485307,-0.366113002
02/02/2001,0.813204159,2.13625066,0.255070338
05/02/2001,0.302506564,1.027532303,-0.044256725
06/02/2001,0.344544963,2.715711621,0.127275511
07/02/2001,0.20159797,2.528086446,0.10699633
08/02/2001,0.299121656,2.094157018,0.017560642
09/02/2001,0.410544756,2.07998081,0.157901876
12/02/2001,0.573543963,0.904335476,0.287339731
13/02/2001,0.643945537,5.932989853,0.474753
14/02/2001,0.657611375,1.335838254,0.064452705
15/02/2001,0.2861409,2.199182696,-0.065755046
16/02/2001,0.41482652,4.328581167,0.13319171
20/02/2001,1.199989685,3.807426553,0.950605566
21/02/2001,2.762087991,4.206395345,1.974020449
22/02/2001,4.636241397,13.8311877,6.801181842
23/02/2001,4.179775923,10.48914974,5.265733353
26/02/2001,0.906519417,11.0423287,2.014885757
27/02/2001,1.355414536,6.682808146,0.25596634
28/02/2001,2.466198653,4.500137736,2.787203617
01/03/2001,3.487354964,4.474003076,2.125428629
02/03/2001,1.887561458,8.943134944,2.024550322
05/03/2001,0.898920853,4.145994887,1.352503673
06/03/2001,0.783474549,4.808662867,1.459614986
07/03/2001,1.039700232,4.770972823,1.53409881
08/03/2001,0.499493313,1.72941785,0.344532743
09/03/2001,0.632132249,1.10681471,0.220172224
12/03/2001,1.805050859,3.067839977,1.376466219
13/03/2001,1.916031523,2.229045377,1.627789277
14/03/2001,4.639274989,9.058495802,4.128966972
15/03/2001,0.866460109,2.942587263,1.007652798
16/03/2001,1.755293292,3.79639276,1.777527775
19/03/2001,1.369541256,5.717185542,2.212220452
20/03/2001,2.571863948,5.514161041,3.087198941
21/03/2001,4.365714769,17.338923,7.290489626
22/03/2001,11.16577463,15.54307929,12.06743932
23/03/2001,1.126415483,5.764015135,1.439918218
26/03/2001,0.742535473,5.129682703,1.0023269
27/03/2001,1.578109968,14.72477885,1.235260479
28/03/2001,1.379876349,5.340415025,0.475074312
29/03/2001,3.674257302,5.439041189,3.99769173
30/03/2001,1.216759745,1.722066759,1.088442334
02/04/2001,1.592595696,4.741156729,1.44626204
03/04/2001,1.166630367,3.296065512,0.809216264
04/04/2001,4.353653245,9.115589674,2.958560629
05/04/2001,0.784887469,2.552522619,0.760885914
06/04/2001,1.219650544,16.27703957,2.080376538
09/04/2001,1.105200049,3.542261397,1.452945579
10/04/2001,1.457356495,2.681908314,1.230893488
11/04/2001,1.898477166,2.085412303,1.477693819
12/04/2001,1.630007934,1.540365868,1.077554217
16/04/2001,0.825429641,5.13598992,1.028525872
17/04/2001,1.568893935,1.12976143,0.301164888
18/04/2001,5.998406532,27.11924433,0.572902507
19/04/2001,1.227470893,7.003819613,1.673379318
20/04/2001,0.443638655,1.66504386,-0.172903795
23/04/2001,0.521014957,1.827806515,0.397150363
24/04/2001,1.256019805,0.826775424,0.740132284
25/04/2001,1.632700547,4.544566597,2.207808881
26/04/2001,0.943956077,2.654597593,0.71762261
27/04/2001,0.809822934,1.8725782,0.588334266
30/04/2001,1.120681708,2.356914472,1.209303262
01/05/2001,0.575453979,1.410631624,0.454809242
02/05/2001,1.291980765,1.654445898,0.943625118
03/05/2001,0.602982829,1.856176783,0.647001504
04/05/2001,1.646624965,1.080090908,1.243058838
07/05/2001,0.730261703,0.555202883,0.370571373
08/05/2001,0.804520255,0.498265209,0.480784682
09/05/2001,0.893160543,0.899506045,0.554304314
10/05/2001,0.317362605,0.389237676,0.154823373
11/05/2001,0.69142728,2.22365403,0.741194443
14/05/2001,0.327987519,0.319899677,0.261590032
15/05/2001,0.777244873,1.734026198,0.720552381
16/05/2001,1.429630603,2.594016513,1.614745915
17/05/2001,0.4612156,0.888000835,0.271210897
18/05/2001,0.410032774,2.350873093,0.844789245
21/05/2001,0.911736719,0.813532597,0.323237563
22/05/2001,0.268252168,3.775857587,0.064488863
23/05/2001,0.533039484,3.297536474,-0.315166138
24/05/2001,0.679990188,1.408777645,0.616237408
25/05/2001,0.325927193,0.813408106,0.285454072
29/05/2001,0.192084366,0.767005799,0.013452667
30/05/2001,0.806797164,2.008462816,0.841410115
31/05/2001,0.468240842,2.391798858,0.538053788
01/06/2001,0.55686067,1.387105162,0.047407957
04/06/2001,0.417497752,0.472115694,0.210907794
05/06/2001,0.77094538,1.286688239,0.719329111
06/06/2001,0.480911693,2.088545219,0.191866514
07/06/2001,0.660664793,3.030762885,0.993013759
08/06/2001,0.794979561,0.921208324,0.216429916
11/06/2001,0.465682956,0.621297879,0.414153065
12/06/2001,1.21412029,1.747587434,1.25819533
13/06/2001,0.464539565,0.687068209,0.361188179
14/06/2001,0.750535668,2.872480641,1.183047691
15/06/2001,1.05519653,1.839563771,1.112917604
18/06/2001,0.512186545,3.564257716,0.8844121
19/06/2001,0.908699994,2.803111643,1.131782804
20/06/2001,0.722874975,2.310824558,0.669885418
21/06/2001,0.600637479,1.119348103,-0.025580819
22/06/2001,1.099016053,1.598457267,0.502760592
25/06/2001,0.662596341,1.871001613,0.797749113
26/06/2001,0.468961914,1.145027232,0.516226766
27/06/2001,1.040986826,3.062705179,1.18911827
28/06/2001,0.972008577,1.180073983,0.493195643
29/06/2001,0.821888322,1.884211054,0.340746652
02/07/2001,0.665708551,1.053292044,0.58059596
03/07/2001,0.23103696,0.53436604,0.09760827
05/07/2001,0.405154337,0.404266419,0.231438166
06/07/2001,0.930465681,2.595411185,1.095290255
09/07/2001,0.516098823,0.921180235,0.408772297
10/07/2001,0.654468603,1.423849335,0.66512729
11/07/2001,1.640148759,5.244119225,1.437052381
12/07/2001,0.694175264,4.297449705,1.468483094
13/07/2001,0.701025182,1.948351071,0.311560515
16/07/2001,0.441864949,0.530664261,0.143406511
17/07/2001,1.119480388,2.242573455,1.389395397
18/07/2001,0.481923916,2.144207372,0.40039483
19/07/2001,1.529567533,3.781016178,1.54213779
20/07/2001,0.336119684,0.672632865,0.269626744
23/07/2001,1.610516527,1.140012628,1.106332599
24/07/2001,1.627175824,1.455017884,0.876391819
25/07/2001,0.929234676,2.007165182,-0.084664592
26/07/2001,0.990794421,0.778393971,0.275780243
27/07/2001,0.46601561,0.683220499,0.390417932
30/07/2001,0.355241492,0.571631857,-0.045797887
31/07/2001,0.611492738,0.729041429,-0.277356679
01/08/2001,0.317464973,0.441273391,0.063054667
02/08/2001,0.580909009,0.641439897,0.320076432
03/08/2001,0.588306694,0.907122796,0.353964592
06/08/2001,0.398295342,0.489380935,0.275365857
07/08/2001,0.454638157,0.690644247,0.464503709
08/08/2001,0.933952015,1.399820168,0.768554063
09/08/2001,0.626677261,0.85939444,0.308837959
10/08/2001,1.593791754,1.135338307,1.10121069
13/08/2001,0.866047519,0.60183634,0.411007263
14/08/2001,0.566624388,0.636538428,0.412762561
15/08/2001,0.729243743,0.211460932,0.142720344
16/08/2001,0.662857111,1.029222976,0.349096144
17/08/2001,0.422884733,1.408808272,0.403797959
20/08/2001,0.390399585,0.47781811,0.271682783
21/08/2001,1.236576154,2.507094494,1.224744106
22/08/2001,0.84859551,2.017844882,0.881561501
23/08/2001,0.357106617,1.244634178,0.446900764
24/08/2001,0.781918754,2.057671366,-0.161231927
27/08/2001,0.287691666,0.677379504,0.305739768
28/08/2001,0.717032091,0.749415153,0.383290436
29/08/2001,0.905263218,4.366682665,1.749526551
30/08/2001,1.327498953,2.672457452,1.163914711
31/08/2001,1.315000983,3.657320772,1.675209698
04/09/2001,3.143272423,3.717032281,2.213665611
05/09/2001,1.127015531,2.20302603,1.167897371
