Date,SPY realized variance,BAC realized variance,SPY-BAC realized covariance
01/02/2001,0.797686424,5.473780015,0.204314738
02/02/2001,0.917087239,1.011835866,0.315413225
05/02/2001,0.648481104,0.939308079,0.139213311
06/02/2001,0.432145902,2.184823201,0.221918253
07/02/2001,0.754554662,2.093281308,0.367674001
08/02/2001,0.725947207,1.54151203,0.136411664
09/02/2001,0.678518806,2.47662747,0.672569994
12/02/2001,0.83620928,1.184296539,0.588558857
13/02/2001,0.712943155,4.301059988,0.064904057
14/02/2001,0.790854566,1.769187603,0.355602734
15/02/2001,0.312738351,2.733073252,0.089592203
16/02/2001,0.761478508,3.323542682,0.204857708
20/02/2001,0.964321389,3.561883647,0.723469809
21/02/2001,2.172848479,4.195235152,1.963976676
22/02/2001,4.677589978,11.67729191,5.459353489
23/02/2001,3.581925739,8.789350996,4.175994177
26/02/2001,1.183844073,6.288212449,1.26379451
27/02/2001,1.357993927,9.45824845,1.042566635
28/02/2001,2.802578153,5.496461122,2.898787426
01/03/2001,3.142273588,5.182666155,2.58871109
02/03/2001,2.836452462,10.07236012,2.955907917
05/03/2001,0.831296446,4.762510633,1.262685082
06/03/2001,0.700927811,4.389368518,0.81573924
07/03/2001,0.971234287,3.445916465,1.241264684
08/03/2001,0.957046399,2.206024717,0.52595289
09/03/2001,1.273644125,2.162651083,0.364641943
12/03/2001,1.727015256,1.850705994,0.758036514
13/03/2001,2.801695517,4.136348653,2.549466326
14/03/2001,5.101430635,11.42074961,4.184278227
15/03/2001,1.101882483,2.083748787,0.631156439
16/03/2001,2.836051908,3.974070843,2.484624427
19/03/2001,1.174769009,4.575940904,1.659732072
20/03/2001,4.533142872,5.649422628,4.072236592
21/03/2001,4.162838701,10.14171373,4.918336358
22/03/2001,5.828282495,14.83643063,6.827279126
23/03/2001,3.839530053,9.115672965,3.086198721
26/03/2001,0.883866621,5.165741861,0.95904503
27/03/2001,1.608913367,10.11799876,1.441792273
28/03/2001,1.835684049,3.80430513,0.902815111
29/03/2001,2.289307485,3.959932055,2.434352038
30/03/2001,1.650763626,2.81326116,1.711863743
02/04/2001,1.8156272,5.141885979,2.03046488
03/04/2001,2.900601765,3.663638923,1.925343545
04/04/2001,4.94390497,10.37502403,4.329335822
05/04/2001,1.432194644,3.064897851,1.04016935
06/04/2001,3.903775937,25.73755744,4.651552885
09/04/2001,1.247033632,3.424232201,1.321233965
10/04/2001,1.191638556,3.403466335,1.164180105
11/04/2001,1.408861968,3.229471592,1.098525085
12/04/2001,1.438425842,2.581682365,1.252495709
16/04/2001,1.119988764,2.956625165,0.601893275
17/04/2001,1.983010657,1.20366251,0.472619534
18/04/2001,9.365350015,17.00147352,0.864355323
19/04/2001,0.982953087,4.866993924,1.147002932
20/04/2001,0.814393563,2.494827593,0.577930287
23/04/2001,0.876412577,1.584070448,0.450907718
24/04/2001,1.167387923,0.751915981,0.445793921
25/04/2001,1.140838001,3.224168212,1.332623975
26/04/2001,1.05699131,2.692848059,0.989683278
27/04/2001,0.964087565,1.499604814,0.546556059
30/04/2001,0.976313415,2.268046723,1.004265991
01/05/2001,1.118813786,2.816810564,0.716403033
02/05/2001,1.885189407,2.281299977,1.360970029
03/05/2001,0.674438774,1.606043467,0.505519717
04/05/2001,2.249162169,1.322674682,1.427134969
07/05/2001,0.613083239,0.734427624,0.325495919
08/05/2001,0.783358002,0.355273719,0.323611837
09/05/2001,0.831972767,0.622513299,0.400410662
10/05/2001,0.628529913,0.434310188,0.254191247
11/05/2001,0.872271304,2.210765863,0.975211825
14/05/2001,0.311887577,0.577160301,0.229241225
15/05/2001,0.614022048,1.179796111,0.465374283
16/05/2001,1.119758347,1.567877203,0.867926221
17/05/2001,0.532294008,0.984167205,0.142190201
18/05/2001,0.427249834,1.373254962,0.449418523
21/05/2001,0.88424964,1.307225171,0.456509236
22/05/2001,0.885583321,2.644374161,0.297700291
23/05/2001,0.706188712,2.467974015,0.354149256
24/05/2001,0.742609661,2.712261161,0.989680431
25/05/2001,0.400076979,0.918318907,0.342548805
29/05/2001,0.566995327,0.589588472,0.187384449
30/05/2001,0.753672179,2.063500285,0.647170862
31/05/2001,0.462427592,1.787343661,0.156854895
01/06/2001,0.773562859,1.392066619,0.543243004
04/06/2001,0.55543218,0.469166647,-0.004585528
05/06/2001,0.691346943,1.258304519,0.45940718
06/06/2001,0.707001674,1.981519456,0.569143139
07/06/2001,0.652042375,2.288091593,0.811935977
08/06/2001,0.676762037,0.643664743,0.02573932
11/06/2001,0.394340919,0.773954241,0.434088454
12/06/2001,0.956583086,1.133091152,0.619904376
13/06/2001,0.563873357,0.545475342,0.208538427
14/06/2001,0.87499714,2.236118181,0.868422546
15/06/2001,1.538693052,1.861982956,0.971959376
18/06/2001,0.769725517,2.778911917,0.855372846
19/06/2001,0.614767671,1.894579006,0.607609693
20/06/2001,0.717120842,1.835500494,0.464991852
21/06/2001,1.250400631,1.209159618,0.018636155
22/06/2001,0.781088231,3.338116213,0.240237705
25/06/2001,0.685661218,1.92809421,0.346417637
26/06/2001,0.69058322,2.004629108,0.616217536
27/06/2001,0.583593037,1.952348507,0.74876232
28/06/2001,1.034385703,1.056925695,0.331891015
29/06/2001,0.63303051,1.331022284,0.401272418
02/07/2001,0.57793706,1.217245757,0.415207177
03/07/2001,0.330950964,0.360988661,0.110935825
05/07/2001,0.321543099,0.539038803,0.121965607
06/07/2001,0.919994555,2.136140598,0.71022361
09/07/2001,0.666204884,1.258994391,0.673208082
10/07/2001,0.624360481,1.359027601,0.370882429
11/07/2001,1.459352089,3.912326569,1.500520726
12/07/2001,0.484487111,3.046745899,0.460598991
13/07/2001,0.777979216,1.858192005,0.401112264
16/07/2001,0.658734472,0.900165197,0.33788956
17/07/2001,0.758200728,1.514617893,0.561152275
18/07/2001,1.001452849,1.496038783,0.57125505
19/07/2001,0.984706559,2.510904323,0.85340753
20/07/2001,0.528818992,1.154230801,0.386619398
23/07/2001,0.981071377,0.800225252,0.583627303
24/07/2001,1.204904578,1.595787114,0.922533081
25/07/2001,1.064686853,1.601309579,0.407559023
26/07/2001,0.724122792,1.598268371,0.423166701
27/07/2001,0.659498636,0.458384502,0.257387067
30/07/2001,0.5264379,1.145125813,0.352623836
31/07/2001,0.704751507,0.40597254,-0.026479194
01/08/2001,0.50814881,0.526595938,0.322407886
02/08/2001,0.346633617,0.924938499,0.189558843
03/08/2001,0.440585426,0.685524179,0.273722898
06/08/2001,0.424880197,0.696969959,0.313256183
07/08/2001,0.361392116,0.685510421,0.2739591
08/08/2001,0.693448122,1.248400945,0.557099926
09/08/2001,0.886241621,0.76919644,0.39411054
10/08/2001,1.286987067,0.617214248,0.352445488
13/08/2001,0.653471531,0.661196812,0.422753468
14/08/2001,0.689112013,0.682504044,0.41791512
15/08/2001,0.611037052,0.798699186,0.150941825
16/08/2001,0.795374753,0.927057652,0.524548664
17/08/2001,0.717895189,1.028187928,0.49540744
20/08/2001,0.61286817,0.768742441,0.338343849
21/08/2001,0.82473116,1.643589211,0.788167926
22/08/2001,0.908816105,2.400731597,0.865323557
23/08/2001,0.492015534,1.020030385,0.456007383
24/08/2001,0.701167552,1.855473655,0.141016151
27/08/2001,0.499201939,1.155561912,0.44983616
28/08/2001,0.939687752,1.589859359,0.871542078
29/08/2001,0.868889886,2.433889621,0.832039001
30/08/2001,1.528547951,2.445263219,1.087474771
31/08/2001,1.137792614,3.713762297,1.705924444
04/09/2001,1.923580602,2.848233746,1.161571113
05/09/2001,3.01180906,3.636916265,2.809653497
06/09/2001,3.327457797,5.148326686,2.750998636
07/09/2001,1.938561559,4.175502166,2.175988734
