Date,SPY realized variance,BAC realized variance,SPY-BAC realized covariance
01/02/2001,1.675076057,5.398895937,0.430158987
02/02/2001,1.526935112,1.459094377,0.06612485
05/02/2001,0.817426764,2.556698675,0.080716449
06/02/2001,0.856381838,1.906780846,0.0731397
07/02/2001,1.232417123,1.174805765,0.03180938
08/02/2001,1.43759499,1.338095078,-0.13045818
09/02/2001,1.114256737,1.140579738,0.091789669
12/02/2001,1.374271384,1.210085859,0.154801253
13/02/2001,1.168770345,2.40534015,0.170437608
14/02/2001,1.601574257,2.233861976,0.190932274
15/02/2001,0.575675097,3.098889857,0.092756033
16/02/2001,1.576970386,3.082874376,-0.033394232
20/02/2001,1.562603287,2.340744799,0.157175819
21/02/2001,2.433190856,3.066573454,0.616208234
22/02/2001,4.100740304,7.469598804,1.673430239
23/02/2001,4.733816748,7.969826208,2.362282355
26/02/2001,2.502619562,5.676263725,0.405309454
27/02/2001,3.29762301,7.918760226,1.640573003
28/02/2001,3.4845105,5.671076856,1.538669489
01/03/2001,3.593265226,6.864560998,1.796206863
02/03/2001,3.100722796,6.519631904,1.485567124
05/03/2001,2.095532525,3.828593016,0.661137946
06/03/2001,1.63031576,3.350936619,0.408879293
07/03/2001,1.954598019,2.873663931,0.555458803
08/03/2001,1.431125844,2.368894133,0.137157762
09/03/2001,2.806635673,2.940550389,0.636057443
12/03/2001,3.445351751,2.924510424,0.841018284
13/03/2001,3.538114052,4.232137827,1.349338611
14/03/2001,6.867558819,10.68696759,2.887236472
15/03/2001,1.641874653,3.508834323,0.397889381
16/03/2001,3.007926852,6.318976763,1.636715094
19/03/2001,2.083927995,3.536629953,0.61101765
20/03/2001,5.333164086,8.46181689,2.189196861
21/03/2001,3.574326759,8.68147067,2.000984869
22/03/2001,5.743149461,9.207300871,3.00624764
23/03/2001,3.822567561,8.510909326,2.330576537
26/03/2001,1.650801549,5.363183473,1.04423995
27/03/2001,1.863675691,7.241500087,0.974386396
28/03/2001,2.632879223,4.862911759,1.091060081
29/03/2001,2.838732864,4.735334569,1.143184238
30/03/2001,2.19959017,4.921643705,1.119862127
02/04/2001,2.324175845,5.580453812,1.546783281
03/04/2001,2.93050543,5.281280637,1.308718327
04/04/2001,3.265736011,6.163368719,1.287884218
05/04/2001,2.450960342,4.637883404,0.712773296
06/04/2001,3.605952005,12.45100967,2.225918002
09/04/2001,1.668868253,4.183309229,0.761038546
10/04/2001,1.952497951,3.901499402,0.90045582
11/04/2001,2.429081578,5.29204037,1.535267415
12/04/2001,2.282004427,5.14691688,1.250705933
16/04/2001,1.312128927,4.337879986,0.457474693
17/04/2001,2.328598759,1.980658723,0.574139723
18/04/2001,8.633150716,10.9095978,0.158789557
19/04/2001,1.664651188,3.896095914,0.607863572
20/04/2001,1.578202361,2.276875043,0.602063317
23/04/2001,1.773313878,1.577784901,0.412700159
24/04/2001,1.968868327,1.691865237,0.523743853
25/04/2001,1.905674988,4.271720034,1.072590271
26/04/2001,1.21389186,2.454539615,0.413996407
27/04/2001,1.284792508,2.24418942,0.482677686
