Date,SPY realized variance,BAC realized variance,SPY-BAC realized covariance
01/02/2001,0.648407114,6.412368195,0.250298753
02/02/2001,0.815756158,1.689800085,0.150487537
05/02/2001,0.810013121,1.289416394,0.285869779
06/02/2001,0.25126831,3.041693445,0.143985326
07/02/2001,0.563514192,2.142870632,0.423835191
08/02/2001,0.373510173,1.906546554,0.053033913
09/02/2001,0.667220315,2.458437477,0.344554342
12/02/2001,0.939646371,1.101431628,0.561001678
13/02/2001,0.668036167,5.976245012,0.251128203
14/02/2001,0.707373839,1.026552575,0.264345979
15/02/2001,0.31819519,1.773231671,0.031514926
16/02/2001,0.51714264,4.580288709,0.126998562
20/02/2001,1.21706152,3.368696071,0.89089496
21/02/2001,2.175098633,3.283524472,1.472732077
22/02/2001,3.443336445,11.9188351,5.017171519
23/02/2001,5.379812728,10.97403092,6.576707669
26/02/2001,1.098571497,6.891958675,1.074748072
27/02/2001,1.444172185,7.653269025,0.859067055
28/02/2001,2.784900445,6.812233965,3.069231596
01/03/2001,2.842018561,4.157568598,1.360992069
02/03/2001,2.215040284,9.47626735,2.852848137
05/03/2001,0.679530406,4.057240133,1.128723525
06/03/2001,0.583574511,3.190139432,0.790080257
07/03/2001,1.344623472,3.546965451,1.374098071
08/03/2001,0.593847979,2.608627515,0.490797098
09/03/2001,0.696425192,1.357740518,0.162152779
12/03/2001,2.846034028,2.714187188,1.712418995
13/03/2001,1.77245133,2.439640799,1.202905309
14/03/2001,3.931085533,9.038494793,3.516476919
15/03/2001,0.824482183,3.199661889,0.904620909
16/03/2001,1.742792452,3.974860336,1.90795507
19/03/2001,1.143788023,4.127975214,1.417346962
20/03/2001,2.725329627,6.413870646,3.200301609
21/03/2001,3.404477568,11.41214345,4.867542561
22/03/2001,7.474836969,12.93664701,8.184334396
23/03/2001,2.822487555,7.55060246,1.62402263
26/03/2001,0.758766338,4.479650015,0.805487282
27/03/2001,1.313013328,10.007238,1.334372372
28/03/2001,1.797021313,4.597975462,1.327139679
29/03/2001,2.525103367,3.91766117,2.567945357
30/03/2001,1.625208797,2.87452801,1.656032408
02/04/2001,1.80603192,5.259309827,1.670843801
03/04/2001,1.566373381,2.910887467,1.007583685
04/04/2001,4.592069138,9.54581323,4.276697842
05/04/2001,1.265443904,4.495275958,1.83005942
06/04/2001,3.093537037,21.33769457,4.738102555
09/04/2001,0.720611242,3.143866139,0.883894386
10/04/2001,1.154153078,2.624693322,1.202116682
11/04/2001,1.82012061,3.425035056,0.820227971
12/04/2001,1.568162403,2.410012307,1.107620799
16/04/2001,1.177073302,3.74121839,0.931349343
17/04/2001,1.464306093,1.172068999,0.488404215
18/04/2001,10.889231,21.85813622,-0.624334814
19/04/2001,0.845405408,5.00123909,0.9108116
20/04/2001,0.920407634,2.162276942,0.568479472
23/04/2001,0.529012272,1.670523386,0.283764421
24/04/2001,1.138273911,1.047206827,0.749589814
25/04/2001,1.111300387,2.948634375,1.255016153
26/04/2001,0.846577526,1.627483251,0.490507944
27/04/2001,0.889567493,2.08037329,0.880291892
30/04/2001,0.972487296,2.243377921,0.935423611
01/05/2001,0.857998801,1.596056654,0.554897105
02/05/2001,1.206843016,1.528523829,0.81750566
03/05/2001,0.794249022,1.912653687,0.749562639
04/05/2001,1.277364879,1.103152412,0.802743608
07/05/2001,0.671875314,0.746540915,0.443386042
08/05/2001,0.768489778,0.438908423,0.344783793
09/05/2001,0.641988924,0.750911364,0.377165999
10/05/2001,0.555820084,0.453177385,0.209711382
11/05/2001,0.880104058,2.182241066,0.875324606
14/05/2001,0.261590986,0.493954023,0.149829556
15/05/2001,0.511340548,1.296358944,0.474684301
16/05/2001,1.070241774,1.704491977,1.030061014
17/05/2001,0.558434642,1.181467456,0.366905692
18/05/2001,0.434754461,1.845589377,0.651084154
21/05/2001,0.694663699,0.820954323,0.2562817
22/05/2001,0.597033548,3.381775343,0.561966133
23/05/2001,0.560567058,2.834710019,0.157086447
24/05/2001,0.79271377,1.901082564,0.817265529
25/05/2001,0.570808158,0.864806403,0.376873665
29/05/2001,0.340265283,0.540566775,0.114351431
30/05/2001,0.708671686,1.818008321,0.76984136
31/05/2001,0.390238052,2.312150592,0.393031834
01/06/2001,0.697468949,1.250376505,0.269656384
04/06/2001,0.375298326,0.467786923,0.197991899
05/06/2001,0.556631053,1.028481153,0.447583409
06/06/2001,0.444524711,1.458533116,0.311235158
07/06/2001,0.501625736,2.451304974,0.694717729
08/06/2001,0.687188701,0.573050198,0.141019018
11/06/2001,0.355526259,0.840312959,0.381975029
12/06/2001,0.865966237,1.223668121,0.649993944
13/06/2001,0.615869899,0.630189502,0.294486282
14/06/2001,1.01749493,2.519851314,1.190121708
15/06/2001,1.121265175,1.388277091,0.85920612
18/06/2001,0.583517627,2.791092796,0.761773747
19/06/2001,0.667525754,2.017583795,0.743113113
20/06/2001,0.639799291,1.542973658,0.453490323
21/06/2001,0.935966564,1.656109467,0.169786353
22/06/2001,0.854814673,2.640949165,0.699136679
25/06/2001,0.710326818,1.744554886,0.551179713
26/06/2001,0.413756593,1.093097004,0.393069246
27/06/2001,0.82725006,2.187937612,0.907138728
28/06/2001,0.61001245,1.337723231,0.178204191
29/06/2001,0.632641231,1.436081154,0.323135846
02/07/2001,0.660381416,1.142789503,0.546932408
03/07/2001,0.342577953,0.515278596,0.15566698
05/07/2001,0.416502392,0.513429656,0.206201902
06/07/2001,0.706144089,2.507319872,0.891148745
09/07/2001,0.424947236,1.186256956,0.460550276
10/07/2001,0.506383775,1.240978717,0.507453359
11/07/2001,1.259988109,3.827775675,1.258966239
12/07/2001,0.518886684,3.007252603,0.717776256
13/07/2001,0.669111893,1.161158736,0.191428872
16/07/2001,0.415167986,0.679217175,0.170596598
17/07/2001,0.884891209,2.234691841,0.72057241
18/07/2001,0.827233429,2.172643586,0.555895761
19/07/2001,1.117072268,2.84320378,0.97839897
