Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
01/02/2001,6.318749725,1.85533432,0.834745207,1.733406136,-0.432281595,0.171625533,0.301706287,0.414970335,0.300088601,0.277823743,4.125152795,1.240866604,2.164212354,-0.15820411,0.504244918,0.285111152,0.604240065,0.621262153,0.293130965,3.44931104,1.761136403,0.021881096,0.26003645,0.485330385,0.362546993,-0.286028166,0.171778461,7.579792214,0.349155022,0.945396352,0.601976661,1.374145573,0.96360098,0.381000222,0.806980597,0.214944373,-0.01260058,0.088130621,-0.086511127,0.135676454,2.134746735,0.148872172,0.003829151,0.435602076,0.336205802,1.3959705,-0.069011133,0.209448255,0.486003969,3.951902459,0.353888355,0.08949001,1.627204831,0.438318857,1.771939576
02/02/2001,1.530310629,0.154902477,0.331286183,0.274099287,0.490918776,0.391365948,0.360411516,-0.305858565,0.189022645,0.245384324,2.967361303,0.629521435,1.714685274,0.359606968,-0.342801072,0.759217101,-0.038568385,0.946433233,0.45529857,3.139036575,1.995560989,0.110821445,0.378129709,-0.086376316,0.416911553,0.481583657,0.177822756,7.642825556,0.584703745,0.06002293,-0.822700706,-0.121689987,1.655415108,0.440972345,1.922965449,0.290534033,0.008492596,-0.25860463,0.755716203,0.249068355,2.970090175,0.483180749,-0.315619199,0.291080311,0.313922249,6.340109634,0.141732825,-0.377836296,0.360109202,2.544128238,-0.143345728,-0.114388571,2.194827966,0.461507578,1.186956076
05/02/2001,1.704638509,0.220862904,0.658519373,0.262264638,-0.114101178,0.285272305,-0.165808952,0.401268676,-0.16562408,0.021125454,2.740281424,0.962305664,1.033219446,0.380962182,0.889189292,-0.333281839,0.64982046,0.509833212,0.419218452,1.967694956,0.884292696,0.311300555,0.443713741,-0.455619766,1.024322035,0.464368642,0.228061577,3.944975398,0.54972298,0.396230124,0.287278415,0.864602495,0.608689331,0.589719494,0.852156383,0.146478815,0.051931855,0.540298901,0.342294519,0.208213438,3.078947996,-0.058859943,-0.073188457,-0.150906012,-0.036646416,3.033005317,-0.502778388,0.080187876,0.596556723,3.690057251,0.420706581,-0.021572687,1.890415941,0.448768511,2.263584769
06/02/2001,2.13580264,0.713959829,-0.014938217,-0.065057035,-0.016910495,-0.177951099,0.005385347,0.328841927,0.028339763,-0.079671251,4.4749987,0.443354038,0.714667519,-0.076483308,-0.200109747,0.456623992,0.06642458,-0.168742736,-0.038405478,2.681388374,1.596039105,0.05910608,0.178235525,-0.59219568,0.377792518,0.125745879,0.013633919,4.479506089,-0.110126519,-0.037934729,-0.032874433,0.820834692,0.586985362,0.290029187,0.957058312,0.230289557,0.095552779,0.07923653,0.158635154,0.00395547,1.194146108,-0.139093729,-0.045123984,-0.136511703,-0.083241701,2.2722723,0.507368543,0.097443198,0.422127175,2.435107958,0.041781873,0.187233103,1.464704629,0.148518407,1.472195287
07/02/2001,1.682753307,0.529394006,-0.034282444,0.805136753,0.13065963,-0.195958716,-0.310272101,0.477018514,0.214097212,-0.290951342,3.513489504,0.669024792,1.976048169,0.310929247,0.638662845,-0.245797093,0.525833741,0.574443337,0.145632875,4.636996614,1.970384978,0.551439336,1.47317427,-0.720957548,1.106928763,0.358497273,-0.47115557,7.147702905,0.778960152,1.441438616,-1.012463738,1.154339265,0.589351276,-0.255726649,1.059035275,0.257873049,-0.421545575,0.472655409,0.200079871,0.10754145,3.499960376,-0.154591573,0.96743395,0.394258673,-0.162971564,10.75602979,0.159677488,-0.413836557,-0.842610394,2.93850124,0.330277916,0.042664204,1.178890082,0.160328795,1.733269933
08/02/2001,1.628729852,-0.218447472,0.115558358,0.04083771,-0.329077577,0.762631948,-0.115113203,-0.454876833,-0.109099738,-0.121276544,1.96469141,0.576083804,0.117950443,-0.009945616,-0.166172913,0.649650448,0.188029052,0.413192083,0.158189485,2.671137592,1.490891983,0.334444466,0.264409563,0.95729595,0.045187417,0.867246031,0.069309952,3.42132067,0.628213578,0.503361867,0.373252701,0.49577259,1.003491759,-0.254046547,1.39734768,-0.063784084,0.459854475,0.594742463,0.477210503,0.13322905,3.050936226,0.223194135,0.252693843,-0.005974949,-0.104731438,4.503045524,0.147597456,0.395073012,0.588576281,3.121224282,-0.144932676,0.661492972,1.635923093,-0.171064254,1.504230442
09/02/2001,1.733906331,0.733955321,0.792805645,0.81173118,0.041221573,-0.002082535,0.375665122,0.096496117,0.401706273,0.105480182,2.081819291,0.56803219,0.734776571,-0.028260366,0.171408035,0.034516205,0.141096742,0.09449207,-0.283141909,3.81513148,1.791608491,0.141850124,0.089752162,0.520803015,-0.365050456,0.476775192,0.679396828,6.514386627,0.326700101,0.228630634,2.349805578,0.29284597,0.667825208,0.89063135,0.865083194,-0.028175039,0.23280626,0.472952007,0.342933211,0.039381463,3.532288115,0.698519233,-0.234236317,0.044881703,0.246897087,2.911962276,-0.130721312,0.915629068,0.361487039,2.516379743,0.089087474,0.001993703,2.491167089,0.283908442,1.670400966
12/02/2001,1.062491989,0.332615788,0.696092587,1.157541041,0.337851031,0.038602235,0.436394099,0.096184916,0.283876744,-0.032169731,2.907126912,0.593605009,0.974525167,0.333194758,0.213918705,0.748475051,0.345023157,0.006142197,0.089097618,4.094765513,3.138053674,0.496293795,-0.186481355,1.274352731,-0.120158573,0.903098532,0.155269289,14.98643029,0.094061502,0.000955325,0.574078516,0.118830148,0.87246134,-0.470169937,1.247776705,0.108569196,0.043170705,0.088886611,0.605384221,0.238206194,1.82442885,-0.199668975,-0.098688154,0.047389357,0.017461967,2.143163959,0.698967561,0.17553446,0.375722652,2.059647128,0.111999963,0.266775836,1.741345661,0.169669732,1.003831696
13/02/2001,3.063266492,0.877593059,0.493597428,0.352985674,0.069634437,0.422988738,0.528049502,0.362995802,0.046000642,0.251803588,5.008563322,-0.317296762,1.231804353,0.253530736,0.02556798,1.438596457,-0.190984516,0.324397137,0.144301274,5.368686917,1.646846601,0.76939484,0.19585892,-0.353871426,1.1761149,0.178098351,0.186411058,6.302088795,1.110238947,0.752021181,1.322115988,0.73493772,1.313469257,0.326604535,0.980592454,0.319761346,0.076920943,0.137893076,0.311082203,0.210530848,4.061256692,0.746943192,0.109855955,0.262301759,0.266238111,5.582631297,0.847732192,0.67964995,0.20341363,2.265040864,0.243660911,-0.01508479,1.560316821,0.071733284,0.479494287
14/02/2001,2.084256519,0.265866802,0.239414958,1.079552708,0.009570371,-0.162945343,0.29280695,-0.171850747,0.477972603,-0.253563354,2.54654216,0.231048217,0.875248976,-0.049998076,-0.242407325,0.529623817,0.27975413,0.109494258,0.137199971,2.764440233,2.236121263,0.040178594,0.272907589,0.574218514,-0.50237523,0.51431457,0.207219517,9.954447375,0.15028401,0.625186782,1.889571629,-0.610333873,1.421333629,0.963676266,0.492536506,0.054298897,0.176285964,0.224463378,0.099237744,-0.035200228,1.885076446,0.484044024,0.298014286,0.141610695,0.10378002,1.98913528,0.067790072,0.459574304,0.11242039,3.12899064,-0.056200487,0.238993707,1.363874213,0.296072868,1.012465075
