Date,SPY realized variance,BAC realized variance,SPY-BAC realized covariance
11/07/2001,1.454774732,3.709787865,1.37590993
12/07/2001,0.561089481,2.983813114,0.534455506
13/07/2001,0.666680257,1.510658004,0.36130218
16/07/2001,0.692516525,1.111592362,0.348344873
17/07/2001,0.810628378,1.844555966,0.418311667
18/07/2001,0.94126479,2.031702735,0.466692942
19/07/2001,1.013615283,2.017496462,0.655765585
20/07/2001,0.75049546,1.176589267,0.264667771
23/07/2001,0.9554832,1.197975285,0.560404441
24/07/2001,1.012535657,1.597297299,0.643593107
25/07/2001,0.968766765,1.3789633,0.390571443
26/07/2001,0.735455213,1.680768759,0.563662381
27/07/2001,0.842798339,0.62599944,0.339952459
30/07/2001,0.599979058,1.002836823,0.245575719
31/07/2001,0.663071473,0.568793738,0.168917759
01/08/2001,0.533811714,1.02473856,0.399372951
02/08/2001,0.32238635,0.752433294,0.1006795
03/08/2001,0.685838306,0.631961404,0.356509704
06/08/2001,0.46290982,0.817153248,0.263485128
07/08/2001,0.414172896,0.767543444,0.21889825
08/08/2001,0.813762442,1.354555588,0.5818587
09/08/2001,1.061024449,0.902906845,0.469401106
10/08/2001,1.370550353,0.793305249,0.473329843
13/08/2001,0.596993183,0.572455059,0.337414633
14/08/2001,0.693756957,0.730157245,0.356789837
15/08/2001,0.624841013,0.891557597,0.296776135
16/08/2001,1.001454679,1.214191867,0.580801498
17/08/2001,0.870204719,1.063527943,0.547461735
20/08/2001,0.562108005,0.657486843,0.234783004
21/08/2001,0.869459986,1.700122991,0.726964111
22/08/2001,0.931098222,2.155673372,0.797418738
23/08/2001,0.641626983,0.886536799,0.40421853
24/08/2001,0.814994099,1.839168671,0.371459648
27/08/2001,0.479434324,1.310762802,0.399499322
28/08/2001,0.835940472,1.463669028,0.66886203
29/08/2001,0.847491534,2.028471827,0.759569559
30/08/2001,1.618877084,2.595348225,1.237273217
31/08/2001,1.350958369,2.564620089,1.42421791
04/09/2001,1.422067475,2.462855073,0.921164303
05/09/2001,2.229846476,2.516766563,1.843267366
06/09/2001,2.496394035,3.89929904,2.015605007
07/09/2001,2.489877708,4.06443216,1.997379729
10/09/2001,2.63416984,4.084855633,2.03706569
17/09/2001,3.767722309,6.450458705,2.867622452
18/09/2001,0.899369455,3.294476137,0.680023463
19/09/2001,5.658382626,9.072482095,4.495539471
20/09/2001,3.284640941,6.430944504,2.878571898
21/09/2001,8.401177929,19.34612736,9.223743752
24/09/2001,1.66027421,3.773772216,1.056660453
25/09/2001,2.086014233,5.146732556,2.066832695
26/09/2001,1.214992997,2.883534358,0.749441891
27/09/2001,1.839190246,4.13177702,1.365224221
28/09/2001,1.550444426,2.540946036,0.727547783
01/10/2001,0.936632183,2.418978478,0.886263069
02/10/2001,1.371215785,4.006960896,1.159685752
03/10/2001,1.731118634,3.815073218,1.318297829
04/10/2001,1.971847733,3.83402648,1.185134577
05/10/2001,1.857289674,6.334183258,1.444022369
08/10/2001,1.733472721,3.498015705,1.200940393
09/10/2001,1.122691093,7.546389049,1.170463338
10/10/2001,1.206783756,4.765669788,1.213155807
11/10/2001,1.154226273,6.245947765,0.741064265
12/10/2001,3.804677965,3.866756421,1.168866649
15/10/2001,0.93922454,5.319246802,0.572149333
16/10/2001,0.906417946,3.839720993,0.916497264
17/10/2001,1.889177953,5.322650423,1.625515344
18/10/2001,1.21914415,3.209067557,1.069201357
19/10/2001,0.797650667,3.098062007,0.784259094
22/10/2001,0.942176661,2.397167191,0.794960278
23/10/2001,1.120801935,2.570478828,0.917213926
24/10/2001,1.311858128,1.565788691,0.71197828
25/10/2001,1.946625995,2.39575207,1.338286009
26/10/2001,1.213046796,1.667553599,0.50587479
29/10/2001,1.138334836,2.389133584,0.822348945
30/10/2001,1.389553542,3.855425643,1.237523097
31/10/2001,1.543630076,2.895395998,1.258759797
01/11/2001,2.000198316,4.963108016,2.035133282
02/11/2001,1.066729821,2.050527722,0.560614909
05/11/2001,0.745457949,2.316376174,0.664921903
06/11/2001,1.548293526,1.819362181,1.23092292
07/11/2001,0.961856867,1.788533942,0.735729844
08/11/2001,0.814768165,2.789307949,0.842329034
09/11/2001,1.459496486,1.894757896,1.138280013
12/11/2001,1.946502924,2.897059789,1.560176544
13/11/2001,0.639906156,1.224923461,0.270096724
14/11/2001,0.708297604,1.339397078,0.585403535
15/11/2001,0.829011287,1.093357307,0.516666167
16/11/2001,0.735286658,0.716213738,0.260292174
19/11/2001,0.461778534,1.047392287,0.398680513
20/11/2001,0.607443882,1.417864592,0.456683178
21/11/2001,0.580261297,1.178860457,0.398055372
23/11/2001,0.180547995,0.332351001,0.082026906
26/11/2001,0.505655837,0.71886048,0.300191578
27/11/2001,1.64967515,1.846858097,1.176400082
28/11/2001,1.262142243,2.70206923,0.873230819
29/11/2001,1.061559782,1.311629126,0.715215684
30/11/2001,0.508166034,0.742234345,0.225967367
03/12/2001,0.888966484,1.480329785,0.650429316
04/12/2001,0.379800424,2.017985139,0.469775037
05/12/2001,0.71342965,1.15591148,0.437791457
06/12/2001,0.625045,1.612272353,0.607500759
07/12/2001,0.611935775,1.290916453,0.403376241
10/12/2001,0.523255506,1.473899238,0.440470364
11/12/2001,0.602538475,2.728957372,0.408738154
12/12/2001,0.861255035,1.890190005,0.859470695
13/12/2001,0.786375391,1.614433004,0.436085077
14/12/2001,0.825001323,1.225020239,0.427412346
17/12/2001,0.550006997,2.287769583,0.501726397
18/12/2001,0.413756875,1.77876579,0.250595362
19/12/2001,0.685138611,1.411253551,0.470745855
20/12/2001,0.547043376,1.092161537,0.364034714
21/12/2001,0.205954292,2.009242689,0.166893607
24/12/2001,0.066035184,0.776571729,0.000513242
26/12/2001,0.345685268,0.999074912,0.313167619
27/12/2001,0.233423118,0.939587633,0.160804181
28/12/2001,0.342481569,1.140566711,0.255452523
31/12/2001,0.238125262,0.954823811,0.247560349
02/01/2002,0.99530303,1.30842684,0.778943903
03/01/2002,0.436323712,1.926236836,0.415083055
04/01/2002,0.876478159,1.575484667,0.661075756
07/01/2002,0.426388602,1.191212712,0.199788237
08/01/2002,0.526928616,1.265812447,0.380871606
09/01/2002,0.997425175,1.452015093,0.682794509
10/01/2002,0.545247125,1.259633929,0.26190107
11/01/2002,0.637071507,1.068848968,0.295457775
14/01/2002,0.407510524,0.605017155,0.204112709
15/01/2002,0.562600272,1.343854602,0.417424647
16/01/2002,0.585651938,2.276729117,0.638137587
17/01/2002,0.396501051,0.789914946,0.176398255
18/01/2002,0.556292481,1.506470348,0.607529869
22/01/2002,0.462622543,1.982921553,0.260666672
23/01/2002,0.546585641,1.187808725,0.253750205
24/01/2002,0.533950946,1.57169641,0.327059795
25/01/2002,0.450978684,1.010915826,0.326201231
28/01/2002,0.359695994,1.483444859,0.271846449
29/01/2002,1.093945457,5.137384463,1.253613496
30/01/2002,2.70242512,6.765256126,2.998997715
31/01/2002,0.820916744,2.015908158,0.732107461
01/02/2002,0.489637291,2.219254369,0.576891482
04/02/2002,0.899520223,3.164503331,0.821274155
05/02/2002,1.893404819,5.227658608,2.306407706
06/02/2002,1.829280838,3.823823976,1.709756928
07/02/2002,1.254988892,3.700891325,1.296361061
08/02/2002,0.83511902,2.817308124,0.846275812
11/02/2002,0.343050487,1.368217071,0.284286532
12/02/2002,0.454682514,1.072143339,0.327634391
13/02/2002,0.681372745,3.169003603,1.011465884
14/02/2002,0.587871989,2.014357082,0.672698021
15/02/2002,0.899823977,1.71018218,0.75717713
19/02/2002,0.856436869,2.429909355,0.779608263
20/02/2002,1.000686401,2.559170005,0.847573654
21/02/2002,1.048567887,2.153027005,1.021484868
22/02/2002,1.366240912,2.537497782,1.160460791
25/02/2002,0.50121393,2.186488684,0.500855405
26/02/2002,1.138550331,2.252480312,1.091865083
27/02/2002,1.018298823,2.843639116,0.693064894
